slot,bytes_sent,time_s,gbps
1,143427000,0.0005,2294.832
2,94959000,0.001,1519.344
3,88332000,0.0015,1413.312
4,166714500,0.002,2667.432
5,85443000,0.0025,1367.088
6,127926000,0.003,2046.816
7,196477500,0.0035,3143.64
8,134487000,0.004,2151.792
9,84990000,0.0045,1359.84
10,107856000,0.005,1725.696
11,139098000,0.0055,2225.568
12,78078000,0.006,1249.248
13,80562000,0.0065,1288.992
14,101925000,0.007,1630.8
15,140185500,0.0075,2242.968
16,139158000,0.008,2226.528
17,75363000,0.0085,1205.808
18,149289000,0.009,2388.624
19,108754500,0.0095,1740.072
20,82771500,0.01,1324.344
21,99270000,0.0105,1588.32
22,100119000,0.011,1601.904
23,124785000,0.0115,1996.56
24,110788500,0.012,1772.616
25,50532000,0.0125,808.512
26,165888000,0.013,2654.208
27,84597000,0.0135,1353.552
28,129144000,0.014,2066.304
29,128820000,0.0145,2061.12
30,161700000,0.015,2587.2
31,109017000,0.0155,1744.272
32,90837000,0.016,1453.392
33,136191000,0.0165,2179.056
34,169672500,0.017,2714.76
35,40938000,0.0175,655.008
36,158946000,0.018,2543.136
37,213027000,0.0185,3408.432
38,105168000,0.019,1682.688
39,70689000,0.0195,1131.024
40,168741000,0.02,2699.856
41,90420000,0.0205,1446.72
42,54261000,0.021,868.176
43,92856000,0.0215,1485.696
44,130212000,0.022,2083.392
45,120108000,0.0225,1921.728
46,160401000,0.023,2566.416
47,41208000,0.0235,659.328
48,144153000,0.024,2306.448
49,122347500,0.0245,1957.56
50,102840000,0.025,1645.44
51,108672000,0.0255,1738.752
52,100917000,0.026,1614.672
53,102939000,0.0265,1647.024
54,101521500,0.027,1624.344
55,91386000,0.0275,1462.176
56,110676000,0.028,1770.816
57,155787000,0.0285,2492.592
58,88369500,0.029,1413.912
59,118624500,0.0295,1897.992
60,19779000,0.03,316.464
