slot,bytes_sent,time_s,gbps
1,160707000,0.0005,2571.312
2,211462500,0.001,3383.4
3,180070500,0.0015,2881.128
4,217861500,0.002,3485.784
5,137187000,0.0025,2194.992
6,313897500,0.003,5022.36
7,159291000,0.0035,2548.656
8,292080000,0.004,4673.28
9,426217500,0.0045,6819.48
10,382933500,0.005,6126.936
11,229069500,0.0055,3665.112
12,223965000,0.006,3583.44
13,213084000,0.0065,3409.344
14,332925000,0.007,5326.8
15,284295000,0.0075,4548.72
16,273687000,0.008,4378.992
17,444823500,0.0085,7117.176
18,421966500,0.009,6751.464
19,229032000,0.0095,3664.512
20,283899000,0.01,4542.384
21,283302000,0.0105,4532.832
22,178662000,0.011,2858.592
23,290874000,0.0115,4653.984
24,306088500,0.012,4897.416
25,350320500,0.0125,5605.128
26,266038500,0.013,4256.616
27,147898500,0.0135,2366.376
28,257961000,0.014,4127.376
29,177465000,0.0145,2839.44
30,193536000,0.015,3096.576
31,237144000,0.0155,3794.304
32,241396500,0.016,3862.344
33,167320500,0.0165,2677.128
34,209277000,0.017,3348.432
35,137760000,0.0175,2204.16
36,295377000,0.018,4726.032
37,150831000,0.0185,2413.296
38,286507500,0.019,4584.12
39,407514000,0.0195,6520.224
40,368334000,0.02,5893.344
41,214455000,0.0205,3431.28
42,223971000,0.021,3583.536
43,201582000,0.0215,3225.312
44,316716000,0.022,5067.456
45,275314500,0.0225,4405.032
46,256689000,0.023,4107.024
47,434124000,0.0235,6945.984
48,400272000,0.024,6404.352
49,216804000,0.0245,3468.864
50,280386000,0.025,4486.176
51,264516000,0.0255,4232.256
52,174054000,0.026,2784.864
53,281718000,0.0265,4507.488
54,290244000,0.027,4643.904
55,334837500,0.0275,5357.4
56,255457500,0.028,4087.32
57,139909500,0.0285,2238.552
58,247542000,0.029,3960.672
59,174531000,0.0295,2792.496
60,38475000,0.03,615.6
