slot,bytes_sent,time_s,gbps
1,70914000,0.0005,1134.624
2,142237500,0.001,2275.8
3,80974500,0.0015,1295.592
4,165022500,0.002,2640.36
5,274771500,0.0025,4396.344
6,189519000,0.003,3032.304
7,16038000,0.0035,256.608
8,103695000,0.004,1659.12
9,67200000,0.0045,1075.2
10,138396000,0.005,2214.336
11,94635000,0.0055,1514.16
12,238923000,0.006,3822.768
13,109534500,0.0065,1752.552
14,146383500,0.007,2342.136
15,158001000,0.0075,2528.016
16,139614000,0.008,2233.824
17,188797500,0.0085,3020.76
18,144621000,0.009,2313.936
19,113178000,0.0095,1810.848
20,99696000,0.01,1595.136
21,144381000,0.0105,2310.096
22,177673500,0.011,2842.776
23,90994500,0.0115,1455.912
24,72625500,0.012,1162.008
25,206070000,0.0125,3297.12
26,93834000,0.013,1501.344
27,83704500,0.0135,1339.272
28,165027000,0.014,2640.432
29,82971000,0.0145,1327.536
30,209538000,0.015,3352.608
31,71079000,0.0155,1137.264
32,125841000,0.016,2013.456
33,65691000,0.0165,1051.056
34,180508500,0.017,2888.136
35,249835500,0.0175,3997.368
36,172311000,0.018,2756.976
37,15558000,0.0185,248.928
38,99855000,0.019,1597.68
39,84792000,0.0195,1356.672
40,148908000,0.02,2382.528
41,75903000,0.0205,1214.448
42,218214000,0.021,3491.424
43,113161500,0.0215,1810.584
44,136282500,0.022,2180.52
45,141030000,0.0225,2256.48
46,147180000,0.023,2354.88
47,165684000,0.0235,2650.944
48,138873000,0.024,2221.968
49,128595000,0.0245,2057.52
50,74731500,0.025,1195.704
51,171780000,0.0255,2748.48
52,131832000,0.026,2109.312
53,98470500,0.0265,1575.528
54,96606000,0.027,1545.696
55,186216000,0.0275,2979.456
56,64956000,0.028,1039.296
57,119922000,0.0285,1918.752
58,120612000,0.029,1929.792
59,82857000,0.0295,1325.712
60,43140000,0.03,690.24
