slot,bytes_sent,time_s,gbps
1,84057000,0.0005,1344.912
2,118494000,0.001,1895.904
3,209076000,0.0015,3345.216
4,73104000,0.002,1169.664
5,115497000,0.0025,1847.952
6,122175000,0.003,1954.8
7,44595000,0.0035,713.52
8,93747000,0.004,1499.952
9,54300000,0.0045,868.8
10,59049000,0.005,944.784
11,110883000,0.0055,1774.128
12,128394000,0.006,2054.304
13,97080000,0.0065,1553.28
14,142170000,0.007,2274.72
15,93849000,0.0075,1501.584
16,74241000,0.008,1187.856
17,78795000,0.0085,1260.72
18,51013500,0.009,816.216
19,171117000,0.0095,2737.872
20,89304000,0.01,1428.864
21,105355500,0.0105,1685.688
22,49635000,0.011,794.16
23,77505000,0.0115,1240.08
24,66558000,0.012,1064.928
25,112336500,0.0125,1797.384
26,210960000,0.013,3375.36
27,146445000,0.0135,2343.12
28,142368000,0.014,2277.888
29,79344000,0.0145,1269.504
30,109744500,0.015,1755.912
31,138084000,0.0155,2209.344
32,114258000,0.016,1828.128
33,205608000,0.0165,3289.728
34,86097000,0.017,1377.552
35,99384000,0.0175,1590.144
36,127302000,0.018,2036.832
37,43215000,0.0185,691.44
38,88152000,0.019,1410.432
39,45363000,0.0195,725.808
40,77202000,0.02,1235.232
41,105525000,0.0205,1688.4
42,124192500,0.021,1987.08
43,101256000,0.0215,1620.096
44,133309500,0.022,2132.952
45,89340000,0.0225,1429.44
46,73066500,0.023,1169.064
47,78795000,0.0235,1260.72
48,71538000,0.024,1144.608
49,160527000,0.0245,2568.432
50,105546000,0.025,1688.736
51,78781500,0.0255,1260.504
52,56835000,0.026,909.36
53,70065000,0.0265,1121.04
54,114754500,0.027,1836.072
55,68772000,0.0275,1100.352
56,230746500,0.028,3691.944
57,132861000,0.0285,2125.776
58,144963000,0.029,2319.408
59,87226500,0.0295,1395.624
60,32247000,0.03,515.952
