slot,bytes_sent,time_s,gbps
1,186460500,0.0005,2983.368
2,120984000,0.001,1935.744
3,111678000,0.0015,1786.848
4,139306500,0.002,2228.904
5,131851500,0.0025,2109.624
6,169953000,0.003,2719.248
7,94048500,0.0035,1504.776
8,203235000,0.004,3251.76
9,24606000,0.0045,393.696
10,139875000,0.005,2238.0
11,158704500,0.0055,2539.272
12,98670000,0.006,1578.72
13,186175500,0.0065,2978.808
14,136414500,0.007,2182.632
15,79251000,0.0075,1268.016
16,170172000,0.008,2722.752
17,98745000,0.0085,1579.92
18,110569500,0.009,1769.112
19,69408000,0.0095,1110.528
20,114381000,0.01,1830.096
21,124647000,0.0105,1994.352
22,181125000,0.011,2898.0
23,74745000,0.0115,1195.92
24,114594000,0.012,1833.504
25,191992500,0.0125,3071.88
26,115818000,0.013,1853.088
27,55050000,0.0135,880.8
28,123595500,0.014,1977.528
29,110341500,0.0145,1765.464
30,214069500,0.015,3425.112
31,160050000,0.0155,2560.8
32,112713000,0.016,1803.408
33,105039000,0.0165,1680.624
34,135087000,0.017,2161.392
35,129798000,0.0175,2076.768
36,161535000,0.018,2584.56
37,88194000,0.0185,1411.104
38,195408000,0.019,3126.528
39,23886000,0.0195,382.176
40,134428500,0.02,2150.856
41,154815000,0.0205,2477.04
42,91230000,0.021,1459.68
43,178702500,0.0215,2859.24
44,129889500,0.022,2078.232
45,78409500,0.0225,1254.552
46,162112500,0.023,2593.8
47,94360500,0.0235,1509.768
48,103689000,0.024,1659.024
49,67528500,0.0245,1080.456
50,113643000,0.025,1818.288
51,116602500,0.0255,1865.64
52,170967000,0.026,2735.472
53,69033000,0.0265,1104.528
54,110352000,0.027,1765.632
55,185418000,0.0275,2966.688
56,111084000,0.028,1777.344
57,52434000,0.0285,838.944
58,120772500,0.029,1932.36
59,106963500,0.0295,1711.416
60,20712000,0.03,331.392
