slot,bytes_sent,time_s,gbps
1,53058000,0.0005,848.928
2,87087000,0.001,1393.392
3,91795500,0.0015,1468.728
4,64299000,0.002,1028.784
5,154200000,0.0025,2467.2
6,156562500,0.003,2505.0
7,118606500,0.0035,1897.704
8,101517000,0.004,1624.272
9,117918000,0.0045,1886.688
10,202467000,0.005,3239.472
11,67086000,0.0055,1073.376
12,121927500,0.006,1950.84
13,128295000,0.0065,2052.72
14,106114500,0.007,1697.832
15,58575000,0.0075,937.2
16,159853500,0.008,2557.656
17,110985000,0.0085,1775.76
18,30382500,0.009,486.12
19,214839000,0.0095,3437.424
20,85614000,0.01,1369.824
21,81333000,0.0105,1301.328
22,119541000,0.011,1912.656
23,96735000,0.0115,1547.76
24,75120000,0.012,1201.92
25,45559500,0.0125,728.952
26,152790000,0.013,2444.64
27,168831000,0.0135,2701.296
28,86382000,0.014,1382.112
29,164119500,0.0145,2625.912
30,89241000,0.015,1427.856
31,56796000,0.0155,908.736
32,87087000,0.016,1393.392
33,92397000,0.0165,1478.352
34,65019000,0.017,1040.304
35,159894000,0.0175,2558.304
36,154992000,0.018,2479.872
37,114690000,0.0185,1835.04
38,101517000,0.019,1624.272
39,121470000,0.0195,1943.52
40,199356000,0.02,3189.696
41,78732000,0.0205,1259.712
42,110020500,0.021,1760.328
43,131800500,0.0215,2108.808
44,107583000,0.022,1721.328
45,52668000,0.0225,842.688
46,160245000,0.023,2563.92
47,113001000,0.0235,1808.016
48,28632000,0.024,458.112
49,216150000,0.0245,3458.4
50,84279000,0.025,1348.464
51,83509500,0.0255,1336.152
52,114103500,0.026,1825.656
53,96735000,0.0265,1547.76
54,75165000,0.027,1202.64
55,45564000,0.0275,729.024
56,152790000,0.028,2444.64
57,183553500,0.0285,2936.856
58,73335000,0.029,1173.36
59,164299500,0.0295,2628.792
60,9819000,0.03,157.104
