slot,bytes_sent,time_s,gbps
1,312004500,0.0005,4992.072
2,320817000,0.001,5133.072
3,223299000,0.0015,3572.784
4,165393000,0.002,2646.288
5,181336500,0.0025,2901.384
6,226300500,0.003,3620.808
7,139005000,0.0035,2224.08
8,225418500,0.004,3606.696
9,290448000,0.0045,4647.168
10,287457000,0.005,4599.312
11,223899000,0.0055,3582.384
12,240045000,0.006,3840.72
13,98922000,0.0065,1582.752
14,209100000,0.007,3345.6
15,182769000,0.0075,2924.304
16,225870000,0.008,3613.92
17,223776000,0.0085,3580.416
18,380496000,0.009,6087.936
19,421689000,0.0095,6747.024
20,247158000,0.01,3954.528
21,524607000,0.0105,8393.712
22,241797000,0.011,3868.752
23,317172000,0.0115,5074.752
24,260613000,0.012,4169.808
25,272463000,0.0125,4359.408
26,635874000,0.013,10173.984
27,403452000,0.0135,6455.232
28,198093000,0.014,3169.488
29,374361000,0.0145,5989.776
30,324715500,0.015,5195.448
31,346867500,0.0155,5549.88
32,308586000,0.016,4937.376
33,215638500,0.0165,3450.216
34,156651000,0.017,2506.416
35,177252000,0.0175,2836.032
36,213484500,0.018,3415.752
37,133287000,0.0185,2132.592
38,216816000,0.019,3469.056
39,281023500,0.0195,4496.376
40,276100500,0.02,4417.608
41,211704000,0.0205,3387.264
42,230394000,0.021,3686.304
43,95067000,0.0215,1521.072
44,201505500,0.022,3224.088
45,174447000,0.0225,2791.152
46,217044000,0.023,3472.704
47,219153000,0.0235,3506.448
48,362718000,0.024,5803.488
49,406194000,0.0245,6499.104
50,237225000,0.025,3795.6
51,497809500,0.0255,7964.952
52,232935000,0.026,3726.96
53,305232000,0.0265,4883.712
54,246454500,0.027,3943.272
55,266683500,0.0275,4266.936
56,610642500,0.028,9770.28
57,386472000,0.0285,6183.552
58,190488000,0.029,3047.808
59,365040000,0.0295,5840.64
60,28356000,0.03,453.696
