slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,208003,0,208003,0,1
2,213878,0,213878,0,1
3,148866,0,148866,0,1
4,110262,0,110262,0,1
5,120891,0,120891,0,1
6,150867,0,150867,0,1
7,92670,0,92670,0,1
8,150279,0,150279,0,1
9,193632,0,193632,0,1
10,191638,0,191638,0,1
11,149266,0,149266,0,1
12,160030,0,160030,0,1
13,65948,0,65948,0,1
14,139400,0,139400,0,1
15,121846,0,121846,0,1
16,150580,0,150580,0,1
17,149184,0,149184,0,1
18,253664,0,253664,0,1
19,281126,0,281126,0,1
20,164772,0,164772,0,1
21,349738,0,349738,0,1
22,161198,0,161198,0,1
23,211448,0,211448,0,1
24,173742,0,173742,0,1
25,181642,0,181642,0,1
26,423916,0,423916,0,1
27,268968,0,268968,0,1
28,132062,0,132062,0,1
29,249574,0,249574,0,1
30,216477,0,216477,0,1
31,231245,0,231245,0,1
32,205724,0,205724,0,1
33,143759,0,143759,0,1
34,104434,0,104434,0,1
35,118168,0,118168,0,1
36,142323,0,142323,0,1
37,88858,0,88858,0,1
38,144544,0,144544,0,1
39,187349,0,187349,0,1
40,184067,0,184067,0,1
41,141136,0,141136,0,1
42,153596,0,153596,0,1
43,63378,0,63378,0,1
44,134337,0,134337,0,1
45,116298,0,116298,0,1
46,144696,0,144696,0,1
47,146102,0,146102,0,1
48,241812,0,241812,0,1
49,270796,0,270796,0,1
50,158150,0,158150,0,1
51,331873,0,331873,0,1
52,155290,0,155290,0,1
53,203488,0,203488,0,1
54,164303,0,164303,0,1
55,177789,0,177789,0,1
56,407095,0,407095,0,1
57,257648,0,257648,0,1
58,126992,0,126992,0,1
59,243360,0,243360,0,1
60,18904,0,18904,0,1
