slot,bytes_sent,time_s,gbps
1,57663000,0.0005,922.608
2,118059000,0.001,1888.944
3,205429500,0.0015,3286.872
4,118768500,0.002,1900.296
5,119526000,0.0025,1912.416
6,114981000,0.003,1839.696
7,92601000,0.0035,1481.616
8,158838000,0.004,2541.408
9,141210000,0.0045,2259.36
10,155100000,0.005,2481.6
11,188148000,0.0055,3010.368
12,81207000,0.006,1299.312
13,121104000,0.0065,1937.664
14,150217500,0.007,2403.48
15,242905500,0.0075,3886.488
16,137082000,0.008,2193.312
17,142899000,0.0085,2286.384
18,128917500,0.009,2062.68
19,74764500,0.0095,1196.232
20,107145000,0.01,1714.32
21,120226500,0.0105,1923.624
22,54918000,0.011,878.688
23,99237000,0.0115,1587.792
24,143277000,0.012,2292.432
25,182866500,0.0125,2925.864
26,155055000,0.013,2480.88
27,52350000,0.0135,837.6
28,137407500,0.014,2198.52
29,85113000,0.0145,1361.808
30,61374000,0.015,981.984
31,143109000,0.0155,2289.744
32,72948000,0.016,1167.168
33,187101000,0.0165,2993.616
34,126171000,0.017,2018.736
35,101572500,0.0175,1625.16
36,130443000,0.018,2087.088
37,89532000,0.0185,1432.512
38,161796000,0.019,2588.736
39,152367000,0.0195,2437.872
40,210396000,0.02,3366.336
41,124204500,0.0205,1987.272
42,76135500,0.021,1218.168
43,147720000,0.0215,2363.52
44,151929000,0.022,2430.864
45,201969000,0.0225,3231.504
46,160878000,0.023,2574.048
47,118543500,0.0235,1896.696
48,129330000,0.024,2069.28
49,125887500,0.0245,2014.2
50,74556000,0.025,1192.896
51,105328500,0.0255,1685.256
52,60646500,0.026,970.344
53,118374000,0.0265,1893.984
54,152323500,0.027,2437.176
55,177231000,0.0275,2835.696
56,141586500,0.028,2265.384
57,85293000,0.0285,1364.688
58,91609500,0.029,1465.752
59,106551000,0.0295,1704.816
60,390000,0.03,6.24
