slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,66868,0,66868,0,1
2,81914,0,81914,0,1
3,96563,0,96563,0,1
4,83450,0,83450,0,1
5,120979,0,120979,0,1
6,64057,0,64057,0,1
7,122278,0,122278,0,1
8,29616,0,29616,0,1
9,82932,0,82932,0,1
10,111608,0,111608,0,1
11,70308,0,70308,0,1
12,121775,0,121775,0,1
13,75586,0,75586,0,1
14,70200,0,70200,0,1
15,107091,0,107091,0,1
16,64038,0,64038,0,1
17,82182,0,82182,0,1
18,40466,0,40466,0,1
19,79484,0,79484,0,1
20,84142,0,84142,0,1
21,95312,0,95312,0,1
22,76873,0,76873,0,1
23,76393,0,76393,0,1
24,127966,0,127966,0,1
25,77212,0,77212,0,1
26,36700,0,36700,0,1
27,76271,0,76271,0,1
28,59413,0,59413,0,1
29,140959,0,140959,0,1
30,118320,0,118320,0,1
31,69996,0,69996,0,1
32,79772,0,79772,0,1
33,93524,0,93524,0,1
34,77333,0,77333,0,1
35,116137,0,116137,0,1
36,62028,0,62028,0,1
37,119428,0,119428,0,1
38,26768,0,26768,0,1
39,83184,0,83184,0,1
40,103649,0,103649,0,1
41,66824,0,66824,0,1
42,118679,0,118679,0,1
43,73767,0,73767,0,1
44,63377,0,63377,0,1
45,102042,0,102042,0,1
46,61124,0,61124,0,1
47,79158,0,79158,0,1
48,39009,0,39009,0,1
49,77416,0,77416,0,1
50,82116,0,82116,0,1
51,90880,0,90880,0,1
52,69227,0,69227,0,1
53,73568,0,73568,0,1
54,123612,0,123612,0,1
55,74062,0,74062,0,1
56,34956,0,34956,0,1
57,74393,0,74393,0,1
58,60085,0,60085,0,1
59,135912,0,135912,0,1
60,17735,0,17735,0,1
