slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,30730,0,30730,0,1
2,35654,0,35654,0,1
3,118998,0,118998,0,1
4,31310,0,31310,0,1
5,54312,0,54312,0,1
6,74023,0,74023,0,1
7,27288,0,27288,0,1
8,95086,0,95086,0,1
9,76084,0,76084,0,1
10,49444,0,49444,0,1
11,62790,0,62790,0,1
12,101497,0,101497,0,1
13,110728,0,110728,0,1
14,124425,0,124425,0,1
15,66044,0,66044,0,1
16,103896,0,103896,0,1
17,87876,0,87876,0,1
18,123155,0,123155,0,1
19,120817,0,120817,0,1
20,77686,0,77686,0,1
21,34196,0,34196,0,1
22,90220,0,90220,0,1
23,142736,0,142736,0,1
24,86338,0,86338,0,1
25,57708,0,57708,0,1
26,70620,0,70620,0,1
27,47744,0,47744,0,1
28,48968,0,48968,0,1
29,75084,0,75084,0,1
30,71088,0,71088,0,1
31,58072,0,58072,0,1
32,59262,0,59262,0,1
33,93712,0,93712,0,1
34,50622,0,50622,0,1
35,58080,0,58080,0,1
36,43832,0,43832,0,1
37,100390,0,100390,0,1
38,31400,0,31400,0,1
39,105232,0,105232,0,1
40,24224,0,24224,0,1
41,83446,0,83446,0,1
42,109477,0,109477,0,1
43,121947,0,121947,0,1
44,110350,0,110350,0,1
45,71024,0,71024,0,1
46,65844,0,65844,0,1
47,113588,0,113588,0,1
48,114346,0,114346,0,1
49,124478,0,124478,0,1
50,58934,0,58934,0,1
51,41784,0,41784,0,1
52,98879,0,98879,0,1
53,129600,0,129600,0,1
54,85520,0,85520,0,1
55,63314,0,63314,0,1
56,73256,0,73256,0,1
57,33935,0,33935,0,1
58,54407,0,54407,0,1
59,95020,0,95020,0,1
60,6650,0,6650,0,1
