slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,107138,0,107138,0,1
2,140975,0,140975,0,1
3,120047,0,120047,0,1
4,145241,0,145241,0,1
5,91458,0,91458,0,1
6,209265,0,209265,0,1
7,106194,0,106194,0,1
8,194720,0,194720,0,1
9,284145,0,284145,0,1
10,255289,0,255289,0,1
11,152713,0,152713,0,1
12,149310,0,149310,0,1
13,142056,0,142056,0,1
14,221950,0,221950,0,1
15,189530,0,189530,0,1
16,182458,0,182458,0,1
17,296549,0,296549,0,1
18,281311,0,281311,0,1
19,152688,0,152688,0,1
20,189266,0,189266,0,1
21,188868,0,188868,0,1
22,119108,0,119108,0,1
23,193916,0,193916,0,1
24,204059,0,204059,0,1
25,233547,0,233547,0,1
26,177359,0,177359,0,1
27,98599,0,98599,0,1
28,171974,0,171974,0,1
29,118310,0,118310,0,1
30,129024,0,129024,0,1
31,158096,0,158096,0,1
32,160931,0,160931,0,1
33,111547,0,111547,0,1
34,139518,0,139518,0,1
35,91840,0,91840,0,1
36,196918,0,196918,0,1
37,100554,0,100554,0,1
38,191005,0,191005,0,1
39,271676,0,271676,0,1
40,245556,0,245556,0,1
41,142970,0,142970,0,1
42,149314,0,149314,0,1
43,134388,0,134388,0,1
44,211144,0,211144,0,1
45,183543,0,183543,0,1
46,171126,0,171126,0,1
47,289416,0,289416,0,1
48,266848,0,266848,0,1
49,144536,0,144536,0,1
50,186924,0,186924,0,1
51,176344,0,176344,0,1
52,116036,0,116036,0,1
53,187812,0,187812,0,1
54,193496,0,193496,0,1
55,223225,0,223225,0,1
56,170305,0,170305,0,1
57,93273,0,93273,0,1
58,165028,0,165028,0,1
59,116354,0,116354,0,1
60,25650,0,25650,0,1
