slot,bytes_sent,time_s,gbps
1,360841500,0.0005,5773.464
2,375483000,0.001,6007.728
3,342384000,0.0015,5478.144
4,224097000,0.002,3585.552
5,365419500,0.0025,5846.712
6,277108500,0.003,4433.736
7,215988000,0.0035,3455.808
8,346329000,0.004,5541.264
9,319794000,0.0045,5116.704
10,273393000,0.005,4374.288
11,421729500,0.0055,6747.672
12,457407000,0.006,7318.512
13,336513000,0.0065,5384.208
14,285003000,0.007,4560.048
15,357759000,0.0075,5724.144
16,301665000,0.008,4826.64
17,492186000,0.0085,7874.976
18,487378500,0.009,7798.056
19,325663500,0.0095,5210.616
20,249379500,0.01,3990.072
21,358677000,0.0105,5738.832
22,331215000,0.011,5299.44
23,371389500,0.0115,5942.232
24,306330000,0.012,4901.28
25,397801500,0.0125,6364.824
26,407742000,0.013,6523.872
27,227736000,0.0135,3643.776
28,456048000,0.014,7296.768
29,472861500,0.0145,7565.784
30,347091000,0.015,5553.456
31,420381000,0.0155,6726.096
32,389922000,0.016,6238.752
33,316299000,0.0165,5060.784
34,226263000,0.017,3620.208
35,380433000,0.0175,6086.928
36,261055500,0.018,4176.888
37,204192000,0.0185,3267.072
38,368002500,0.019,5888.04
39,317997000,0.0195,5087.952
40,254133000,0.02,4066.128
41,439335000,0.0205,7029.36
42,460966500,0.021,7375.464
43,340539000,0.0215,5448.624
44,282460500,0.022,4519.368
45,335694000,0.0225,5371.104
46,326806500,0.023,5228.904
47,502017000,0.0235,8032.272
48,485220000,0.024,7763.52
49,318192000,0.0245,5091.072
50,247053000,0.025,3952.848
51,363318000,0.0255,5813.088
52,324252000,0.026,5188.032
53,386685000,0.0265,6186.96
54,294129000,0.027,4706.064
55,384702000,0.0275,6155.232
56,426735000,0.028,6827.76
57,238800000,0.0285,3820.8
58,446013000,0.029,7136.208
59,465451500,0.0295,7447.224
60,29949000,0.03,479.184
