slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,240561,0,240561,0,1
2,250322,0,250322,0,1
3,228256,0,228256,0,1
4,149398,0,149398,0,1
5,243613,0,243613,0,1
6,184739,0,184739,0,1
7,143992,0,143992,0,1
8,230886,0,230886,0,1
9,213196,0,213196,0,1
10,182262,0,182262,0,1
11,281153,0,281153,0,1
12,304938,0,304938,0,1
13,224342,0,224342,0,1
14,190002,0,190002,0,1
15,238506,0,238506,0,1
16,201110,0,201110,0,1
17,328124,0,328124,0,1
18,324919,0,324919,0,1
19,217109,0,217109,0,1
20,166253,0,166253,0,1
21,239118,0,239118,0,1
22,220810,0,220810,0,1
23,247593,0,247593,0,1
24,204220,0,204220,0,1
25,265201,0,265201,0,1
26,271828,0,271828,0,1
27,151824,0,151824,0,1
28,304032,0,304032,0,1
29,315241,0,315241,0,1
30,231394,0,231394,0,1
31,280254,0,280254,0,1
32,259948,0,259948,0,1
33,210866,0,210866,0,1
34,150842,0,150842,0,1
35,253622,0,253622,0,1
36,174037,0,174037,0,1
37,136128,0,136128,0,1
38,245335,0,245335,0,1
39,211998,0,211998,0,1
40,169422,0,169422,0,1
41,292890,0,292890,0,1
42,307311,0,307311,0,1
43,227026,0,227026,0,1
44,188307,0,188307,0,1
45,223796,0,223796,0,1
46,217871,0,217871,0,1
47,334678,0,334678,0,1
48,323480,0,323480,0,1
49,212128,0,212128,0,1
50,164702,0,164702,0,1
51,242212,0,242212,0,1
52,216168,0,216168,0,1
53,257790,0,257790,0,1
54,196086,0,196086,0,1
55,256468,0,256468,0,1
56,284490,0,284490,0,1
57,159200,0,159200,0,1
58,297342,0,297342,0,1
59,310301,0,310301,0,1
60,19966,0,19966,0,1
