slot,bytes_sent,time_s,gbps
1,271245000,0.0005,4339.92
2,412618500,0.001,6601.896
3,387516000,0.0015,6200.256
4,277236000,0.002,4435.776
5,193278000,0.0025,3092.448
6,202884000,0.003,3246.144
7,221188500,0.0035,3539.016
8,187788000,0.004,3004.608
9,172062000,0.0045,2752.992
10,287370000,0.005,4597.92
11,203815500,0.0055,3261.048
12,345819000,0.006,5533.104
13,224244000,0.0065,3587.904
14,235801500,0.007,3772.824
15,113700000,0.0075,1819.2
16,175524000,0.008,2808.384
17,311236500,0.0085,4979.784
18,312814500,0.009,5005.032
19,469204500,0.0095,7507.272
20,308074500,0.01,4929.192
21,219666000,0.0105,3514.656
22,289845000,0.011,4637.52
23,305895000,0.0115,4894.32
24,204384000,0.012,3270.144
25,430711500,0.0125,6891.384
26,224626500,0.013,3594.024
27,343770000,0.0135,5500.32
28,270606000,0.014,4329.696
29,262065000,0.0145,4193.04
30,281893500,0.015,4510.296
31,93121500,0.0155,1489.944
32,403677000,0.016,6458.832
33,366372000,0.0165,5861.952
34,268978500,0.017,4303.656
35,182367000,0.0175,2917.872
36,198085500,0.018,3169.368
37,209004000,0.0185,3344.064
38,180765000,0.019,2892.24
39,171069000,0.0195,2737.104
40,268546500,0.02,4296.744
41,201319500,0.0205,3221.112
42,326356500,0.021,5221.704
43,215691000,0.0215,3451.056
44,226107000,0.022,3617.712
45,112177500,0.0225,1794.84
46,165792000,0.023,2652.672
47,301609500,0.0235,4825.752
48,300055500,0.024,4800.888
49,449479500,0.0245,7191.672
50,295917000,0.025,4734.672
51,211845000,0.0255,3389.52
52,275169000,0.026,4402.704
53,299616000,0.0265,4793.856
54,195792000,0.027,3132.672
55,410185500,0.0275,6562.968
56,218719500,0.028,3499.512
57,327972000,0.0285,5247.552
58,261063000,0.029,4177.008
59,252405000,0.0295,4038.48
60,14274000,0.03,228.384
