slot,bytes_sent,time_s,gbps
1,46095000,0.0005,737.52
2,53481000,0.001,855.696
3,178497000,0.0015,2855.952
4,46965000,0.002,751.44
5,81468000,0.0025,1303.488
6,111034500,0.003,1776.552
7,40932000,0.0035,654.912
8,142629000,0.004,2282.064
9,114126000,0.0045,1826.016
10,74166000,0.005,1186.656
11,94185000,0.0055,1506.96
12,152245500,0.006,2435.928
13,166092000,0.0065,2657.472
14,186637500,0.007,2986.2
15,99066000,0.0075,1585.056
16,155844000,0.008,2493.504
17,131814000,0.0085,2109.024
18,184732500,0.009,2955.72
19,181225500,0.0095,2899.608
20,116529000,0.01,1864.464
21,51294000,0.0105,820.704
22,135330000,0.011,2165.28
23,214104000,0.0115,3425.664
24,129507000,0.012,2072.112
25,86562000,0.0125,1384.992
26,105930000,0.013,1694.88
27,71616000,0.0135,1145.856
28,73452000,0.014,1175.232
29,112626000,0.0145,1802.016
30,106632000,0.015,1706.112
31,87108000,0.0155,1393.728
32,88893000,0.016,1422.288
33,140568000,0.0165,2249.088
34,75933000,0.017,1214.928
35,87120000,0.0175,1393.92
36,65748000,0.018,1051.968
37,150585000,0.0185,2409.36
38,47100000,0.019,753.6
39,157848000,0.0195,2525.568
40,36336000,0.02,581.376
41,125169000,0.0205,2002.704
42,164215500,0.021,2627.448
43,182920500,0.0215,2926.728
44,165525000,0.022,2648.4
45,106536000,0.0225,1704.576
46,98766000,0.023,1580.256
47,170382000,0.0235,2726.112
48,171519000,0.024,2744.304
49,186717000,0.0245,2987.472
50,88401000,0.025,1414.416
51,62676000,0.0255,1002.816
52,148318500,0.026,2373.096
53,194400000,0.0265,3110.4
54,128280000,0.027,2052.48
55,94971000,0.0275,1519.536
56,109884000,0.028,1758.144
57,50902500,0.0285,814.44
58,81610500,0.029,1305.768
59,142530000,0.0295,2280.48
60,9975000,0.03,159.6
