slot,bytes_sent,time_s,gbps
1,203811000,0.0005,3260.976
2,402172500,0.001,6434.76
3,374874000,0.0015,5997.984
4,321529500,0.002,5144.472
5,345144000,0.0025,5522.304
6,298209000,0.003,4771.344
7,193845000,0.0035,3101.52
8,290536500,0.004,4648.584
9,225904500,0.0045,3614.472
10,310119000,0.005,4961.904
11,299517000,0.0055,4792.272
12,182770500,0.006,2924.328
13,234543000,0.0065,3752.688
14,247306500,0.007,3956.904
15,391306500,0.0075,6260.904
16,127701000,0.008,2043.216
17,208372500,0.0085,3333.96
18,157242000,0.009,2515.872
19,271908000,0.0095,4350.528
20,103653000,0.01,1658.448
21,250725000,0.0105,4011.6
22,263196000,0.011,4211.136
23,187872000,0.0115,3005.952
24,228526500,0.012,3656.424
25,253941000,0.0125,4063.056
26,140145000,0.013,2242.32
27,141759000,0.0135,2268.144
28,157665000,0.014,2522.64
29,132198000,0.0145,2115.168
30,198795000,0.015,3180.72
31,260331000,0.0155,4165.296
32,338824500,0.016,5421.192
33,353838000,0.0165,5661.408
34,314152500,0.017,5026.44
35,334423500,0.0175,5350.776
36,277114500,0.018,4433.832
37,189169500,0.0185,3026.712
38,276814500,0.019,4429.032
39,217293000,0.0195,3476.688
40,300076500,0.02,4801.224
41,283897500,0.0205,4542.36
42,178908000,0.021,2862.528
43,225477000,0.0215,3607.632
44,239868000,0.022,3837.888
45,372894000,0.0225,5966.304
46,122802000,0.023,1964.832
47,196740000,0.0235,3147.84
48,156654000,0.024,2506.464
49,255747000,0.0245,4091.952
50,100305000,0.025,1604.88
51,243537000,0.0255,3896.592
52,249765000,0.026,3996.24
53,180465000,0.0265,2887.44
54,219327000,0.027,3509.232
55,245587500,0.0275,3929.4
56,131844000,0.028,2109.504
57,135951000,0.0285,2175.216
58,154659000,0.029,2474.544
59,122937000,0.0295,1966.992
60,13302000,0.03,212.832
