slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,56038,0,56038,0,1
2,78996,0,78996,0,1
3,139384,0,139384,0,1
4,48736,0,48736,0,1
5,76998,0,76998,0,1
6,81450,0,81450,0,1
7,29730,0,29730,0,1
8,62498,0,62498,0,1
9,36200,0,36200,0,1
10,39366,0,39366,0,1
11,73922,0,73922,0,1
12,85596,0,85596,0,1
13,64720,0,64720,0,1
14,94780,0,94780,0,1
15,62566,0,62566,0,1
16,49494,0,49494,0,1
17,52530,0,52530,0,1
18,34009,0,34009,0,1
19,114078,0,114078,0,1
20,59536,0,59536,0,1
21,70237,0,70237,0,1
22,33090,0,33090,0,1
23,51670,0,51670,0,1
24,44372,0,44372,0,1
25,74891,0,74891,0,1
26,140640,0,140640,0,1
27,97630,0,97630,0,1
28,94912,0,94912,0,1
29,52896,0,52896,0,1
30,73163,0,73163,0,1
31,92056,0,92056,0,1
32,76172,0,76172,0,1
33,137072,0,137072,0,1
34,57398,0,57398,0,1
35,66256,0,66256,0,1
36,84868,0,84868,0,1
37,28810,0,28810,0,1
38,58768,0,58768,0,1
39,30242,0,30242,0,1
40,51468,0,51468,0,1
41,70350,0,70350,0,1
42,82795,0,82795,0,1
43,67504,0,67504,0,1
44,88873,0,88873,0,1
45,59560,0,59560,0,1
46,48711,0,48711,0,1
47,52530,0,52530,0,1
48,47692,0,47692,0,1
49,107018,0,107018,0,1
50,70364,0,70364,0,1
51,52521,0,52521,0,1
52,37890,0,37890,0,1
53,46710,0,46710,0,1
54,76503,0,76503,0,1
55,45848,0,45848,0,1
56,153831,0,153831,0,1
57,88574,0,88574,0,1
58,96642,0,96642,0,1
59,58151,0,58151,0,1
60,21498,0,21498,0,1
