slot,bytes_sent,time_s,gbps
1,244144500,0.0005,3906.312
2,393034500,0.001,6288.552
3,532575000,0.0015,8521.2
4,533226000,0.002,8531.616
5,450963000,0.0025,7215.408
6,298443000,0.003,4775.088
7,240600000,0.0035,3849.6
8,386260500,0.004,6180.168
9,159280500,0.0045,2548.488
10,430956000,0.005,6895.296
11,246675000,0.0055,3946.8
12,302181000,0.006,4834.896
13,430840500,0.0065,6893.448
14,210517500,0.007,3368.28
15,268470000,0.0075,4295.52
16,216894000,0.008,3470.304
17,201193500,0.0085,3219.096
18,97420500,0.009,1558.728
19,283332000,0.0095,4533.312
20,218064000,0.01,3489.024
21,126684000,0.0105,2026.944
22,205656000,0.011,3290.496
23,123300000,0.0115,1972.8
24,187329000,0.012,2997.264
25,459988500,0.0125,7359.816
26,216027000,0.013,3456.432
27,208554000,0.0135,3336.864
28,241059000,0.014,3856.944
29,71400000,0.0145,1142.4
30,256564500,0.015,4105.032
31,222973500,0.0155,3567.576
32,383473500,0.016,6135.576
33,511296000,0.0165,8180.736
34,509652000,0.017,8154.432
35,437467500,0.0175,6999.48
36,282564000,0.018,4521.024
37,226452000,0.0185,3623.232
38,373851000,0.019,5981.616
39,152778000,0.0195,2444.448
40,416166000,0.02,6658.656
41,233548500,0.0205,3736.776
42,293578500,0.021,4697.256
43,410242500,0.0215,6563.88
44,201423000,0.022,3222.768
45,258516000,0.0225,4136.256
46,205173000,0.023,3282.768
47,192498000,0.0235,3079.968
48,95733000,0.024,1531.728
49,268297500,0.0245,4292.76
50,209895000,0.025,3358.32
51,124986000,0.0255,1999.776
52,196968000,0.026,3151.488
53,116781000,0.0265,1868.496
54,184512000,0.027,2952.192
55,440956500,0.0275,7055.304
56,207375000,0.028,3318.0
57,197739000,0.0285,3163.824
58,232254000,0.029,3716.064
59,65178000,0.0295,1042.848
60,14583000,0.03,233.328
