slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,253808,0,253808,0,1
2,271372,0,271372,0,1
3,290534,0,290534,0,1
4,158108,0,158108,0,1
5,218414,0,218414,0,1
6,290177,0,290177,0,1
7,135060,0,135060,0,1
8,206495,0,206495,0,1
9,200495,0,200495,0,1
10,227679,0,227679,0,1
11,305561,0,305561,0,1
12,174584,0,174584,0,1
13,119926,0,119926,0,1
14,258012,0,258012,0,1
15,412590,0,412590,0,1
16,187394,0,187394,0,1
17,132256,0,132256,0,1
18,173163,0,173163,0,1
19,188802,0,188802,0,1
20,230348,0,230348,0,1
21,136710,0,136710,0,1
22,198574,0,198574,0,1
23,145675,0,145675,0,1
24,325638,0,325638,0,1
25,205017,0,205017,0,1
26,218782,0,218782,0,1
27,250954,0,250954,0,1
28,165646,0,165646,0,1
29,234590,0,234590,0,1
30,204400,0,204400,0,1
31,195312,0,195312,0,1
32,265387,0,265387,0,1
33,267057,0,267057,0,1
34,169958,0,169958,0,1
35,206290,0,206290,0,1
36,309193,0,309193,0,1
37,119220,0,119220,0,1
38,219081,0,219081,0,1
39,213412,0,213412,0,1
40,222124,0,222124,0,1
41,302716,0,302716,0,1
42,160766,0,160766,0,1
43,140066,0,140066,0,1
44,241412,0,241412,0,1
45,427212,0,427212,0,1
46,166588,0,166588,0,1
47,135280,0,135280,0,1
48,172399,0,172399,0,1
49,189850,0,189850,0,1
50,224210,0,224210,0,1
51,158230,0,158230,0,1
52,187678,0,187678,0,1
53,151598,0,151598,0,1
54,327884,0,327884,0,1
55,193560,0,193560,0,1
56,233432,0,233432,0,1
57,234190,0,234190,0,1
58,178160,0,178160,0,1
59,224452,0,224452,0,1
60,13312,0,13312,0,1
