slot,bytes_sent,time_s,gbps
1,260280000,0.0005,4164.48
2,501420000,0.001,8022.72
3,419442000,0.0015,6711.072
4,327955500,0.002,5247.288
5,282807000,0.0025,4524.912
6,306600000,0.003,4905.6
7,336342000,0.0035,5381.472
8,143346000,0.004,2293.536
9,143019000,0.0045,2288.304
10,392490000,0.005,6279.84
11,382743000,0.0055,6123.888
12,300906000,0.006,4814.496
13,224685000,0.0065,3594.96
14,184294500,0.007,2948.712
15,198516000,0.0075,3176.256
16,187083000,0.008,2993.328
17,203436000,0.0085,3254.976
18,260725500,0.009,4171.608
19,240745500,0.0095,3851.928
20,207831000,0.01,3325.296
21,89697000,0.0105,1435.152
22,223797000,0.011,3580.752
23,227016000,0.0115,3632.256
24,189223500,0.012,3027.576
25,100194000,0.0125,1603.104
26,199435500,0.013,3190.968
27,289617000,0.0135,4633.872
28,142338000,0.014,2277.408
29,354613500,0.0145,5673.816
30,204894000,0.015,3278.304
31,264882000,0.0155,4238.112
32,476688000,0.016,7627.008
33,402376500,0.0165,6438.024
34,314854500,0.017,5037.672
35,268768500,0.0175,4300.296
36,288087000,0.018,4609.392
37,331095000,0.0185,5297.52
38,135282000,0.019,2164.512
39,139825500,0.0195,2237.208
40,378195000,0.02,6051.12
41,373894500,0.0205,5982.312
42,276265500,0.021,4420.248
43,222273000,0.0215,3556.368
44,176676000,0.022,2826.816
45,190098000,0.0225,3041.568
46,171597000,0.023,2745.552
47,205872000,0.0235,3293.952
48,246823500,0.024,3949.176
49,236565000,0.0245,3785.04
50,185803500,0.025,2972.856
51,86103000,0.0255,1377.648
52,222834000,0.026,3565.344
53,226251000,0.0265,3620.016
54,164385000,0.027,2630.16
55,97942500,0.0275,1567.08
56,205111500,0.028,3281.784
57,273135000,0.0285,4370.16
58,128112000,0.029,2049.792
59,347917500,0.0295,5566.68
60,17343000,0.03,277.488
