slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,335511,0,335511,0,1
2,117477,0,117477,0,1
3,162228,0,162228,0,1
4,125450,0,125450,0,1
5,216894,0,216894,0,1
6,211878,0,211878,0,1
7,70094,0,70094,0,1
8,144725,0,144725,0,1
9,164459,0,164459,0,1
10,138927,0,138927,0,1
11,185820,0,185820,0,1
12,116388,0,116388,0,1
13,212698,0,212698,0,1
14,169706,0,169706,0,1
15,145588,0,145588,0,1
16,188839,0,188839,0,1
17,243361,0,243361,0,1
18,208025,0,208025,0,1
19,137477,0,137477,0,1
20,146288,0,146288,0,1
21,133544,0,133544,0,1
22,186036,0,186036,0,1
23,132438,0,132438,0,1
24,221919,0,221919,0,1
25,320518,0,320518,0,1
26,218321,0,218321,0,1
27,188954,0,188954,0,1
28,128930,0,128930,0,1
29,102039,0,102039,0,1
30,155866,0,155866,0,1
31,330309,0,330309,0,1
32,124268,0,124268,0,1
33,156357,0,156357,0,1
34,127402,0,127402,0,1
35,214442,0,214442,0,1
36,211308,0,211308,0,1
37,70094,0,70094,0,1
38,148763,0,148763,0,1
39,159630,0,159630,0,1
40,138924,0,138924,0,1
41,189815,0,189815,0,1
42,124044,0,124044,0,1
43,204828,0,204828,0,1
44,169874,0,169874,0,1
45,141706,0,141706,0,1
46,192906,0,192906,0,1
47,247029,0,247029,0,1
48,200369,0,200369,0,1
49,139484,0,139484,0,1
50,144351,0,144351,0,1
51,140576,0,140576,0,1
52,179868,0,179868,0,1
53,135514,0,135514,0,1
54,221419,0,221419,0,1
55,325100,0,325100,0,1
56,209973,0,209973,0,1
57,194202,0,194202,0,1
58,123682,0,123682,0,1
59,104537,0,104537,0,1
60,11494,0,11494,0,1
