slot,bytes_sent,time_s,gbps
1,106137000,0.0005,1698.192
2,103842000,0.001,1661.472
3,102021000,0.0015,1632.336
4,153304500,0.002,2452.872
5,171544500,0.0025,2744.712
6,107859000,0.003,1725.744
7,148977000,0.0035,2383.632
8,41457000,0.004,663.312
9,122508000,0.0045,1960.128
10,34917000,0.005,558.672
11,75846000,0.0055,1213.536
12,47199000,0.006,755.184
13,50211000,0.0065,803.376
14,119500500,0.007,1912.008
15,198138000,0.0075,3170.208
16,67149000,0.008,1074.384
17,34872000,0.0085,557.952
18,96090000,0.009,1537.44
19,127245000,0.0095,2035.92
20,113059500,0.01,1808.952
21,82944000,0.0105,1327.104
22,172143000,0.011,2754.288
23,153660000,0.0115,2458.56
24,141678000,0.012,2266.848
25,100602000,0.0125,1609.632
26,198729000,0.013,3179.664
27,202060500,0.0135,3232.968
28,87043500,0.014,1392.696
29,111733500,0.0145,1787.736
30,95421000,0.015,1526.736
31,107370000,0.0155,1717.92
32,83580000,0.016,1337.28
33,128850000,0.0165,2061.6
34,151083000,0.017,2417.328
35,176454000,0.0175,2823.264
36,91524000,0.018,1464.384
37,150888000,0.0185,2414.208
38,54489000,0.019,871.824
39,95425500,0.0195,1526.808
40,34917000,0.02,558.672
41,75634500,0.0205,1210.152
42,47199000,0.021,755.184
43,50211000,0.0215,803.376
44,204030000,0.022,3264.48
45,113892000,0.0225,1822.272
46,77568000,0.023,1241.088
47,60855000,0.0235,973.68
48,91998000,0.024,1471.968
49,125688000,0.0245,2011.008
50,93912000,0.025,1502.592
51,121521000,0.0255,1944.336
52,146349000,0.026,2341.584
53,182274000,0.0265,2916.384
54,108366000,0.027,1733.856
55,96732000,0.0275,1547.712
56,224490000,0.028,3591.84
57,221797500,0.0285,3548.76
58,74406000,0.029,1190.496
59,64098000,0.0295,1025.568
60,17422500,0.03,278.76
