slot,bytes_sent,time_s,gbps
1,180219000,0.0005,2883.504
2,200880000,0.001,3214.08
3,20106000,0.0015,321.696
4,123621000,0.002,1977.936
5,121218000,0.0025,1939.488
6,95250000,0.003,1524.0
7,153888000,0.0035,2462.208
8,92631000,0.004,1482.096
9,28488000,0.0045,455.808
10,99999000,0.005,1599.984
11,98898000,0.0055,1582.368
12,86202000,0.006,1379.232
13,80946000,0.0065,1295.136
14,96870000,0.007,1549.92
15,240055500,0.0075,3840.888
16,85605000,0.008,1369.68
17,116214000,0.0085,1859.424
18,121231500,0.009,1939.704
19,291586500,0.0095,4665.384
20,115470000,0.01,1847.52
21,244263000,0.0105,3908.208
22,139989000,0.011,2239.824
23,176208000,0.0115,2819.328
24,166164000,0.012,2658.624
25,141253500,0.0125,2260.056
26,91767000,0.013,1468.272
27,113559000,0.0135,1816.944
28,145638000,0.014,2330.208
29,99598500,0.0145,1593.576
30,129636000,0.015,2074.176
31,193731000,0.0155,3099.696
32,101580000,0.016,1625.28
33,14598000,0.0165,233.568
34,172656000,0.017,2762.496
35,76938000,0.0175,1231.008
36,133831500,0.018,2141.304
37,146088000,0.0185,2337.408
38,56805000,0.019,908.88
39,56457000,0.0195,903.312
40,80430000,0.02,1286.88
41,106890000,0.0205,1710.24
42,107598000,0.021,1721.568
43,63555000,0.0215,1016.88
44,92466000,0.022,1479.456
45,261369000,0.0225,4181.904
46,106140000,0.023,1698.24
47,99825000,0.0235,1597.2
48,210361500,0.024,3365.784
49,213876000,0.0245,3422.016
50,219637500,0.025,3514.2
51,144076500,0.0255,2305.224
52,203605500,0.026,3257.688
53,121419000,0.0265,1942.704
54,172428000,0.027,2758.848
55,113730000,0.0275,1819.68
56,77853000,0.028,1245.648
57,175594500,0.0285,2809.512
58,77191500,0.029,1235.064
59,82279500,0.0295,1316.472
60,12162000,0.03,194.592
