slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,38442,0,38442,0,1
2,78706,0,78706,0,1
3,136953,0,136953,0,1
4,79179,0,79179,0,1
5,79684,0,79684,0,1
6,76654,0,76654,0,1
7,61734,0,61734,0,1
8,105892,0,105892,0,1
9,94140,0,94140,0,1
10,103400,0,103400,0,1
11,125432,0,125432,0,1
12,54138,0,54138,0,1
13,80736,0,80736,0,1
14,100145,0,100145,0,1
15,161937,0,161937,0,1
16,91388,0,91388,0,1
17,95266,0,95266,0,1
18,85945,0,85945,0,1
19,49843,0,49843,0,1
20,71430,0,71430,0,1
21,80151,0,80151,0,1
22,36612,0,36612,0,1
23,66158,0,66158,0,1
24,95518,0,95518,0,1
25,121911,0,121911,0,1
26,103370,0,103370,0,1
27,34900,0,34900,0,1
28,91605,0,91605,0,1
29,56742,0,56742,0,1
30,40916,0,40916,0,1
31,95406,0,95406,0,1
32,48632,0,48632,0,1
33,124734,0,124734,0,1
34,84114,0,84114,0,1
35,67715,0,67715,0,1
36,86962,0,86962,0,1
37,59688,0,59688,0,1
38,107864,0,107864,0,1
39,101578,0,101578,0,1
40,140264,0,140264,0,1
41,82803,0,82803,0,1
42,50757,0,50757,0,1
43,98480,0,98480,0,1
44,101286,0,101286,0,1
45,134646,0,134646,0,1
46,107252,0,107252,0,1
47,79029,0,79029,0,1
48,86220,0,86220,0,1
49,83925,0,83925,0,1
50,49704,0,49704,0,1
51,70219,0,70219,0,1
52,40431,0,40431,0,1
53,78916,0,78916,0,1
54,101549,0,101549,0,1
55,118154,0,118154,0,1
56,94391,0,94391,0,1
57,56862,0,56862,0,1
58,61073,0,61073,0,1
59,71034,0,71034,0,1
60,260,0,260,0,1
