slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,173520,0,173520,0,1
2,334280,0,334280,0,1
3,279628,0,279628,0,1
4,218637,0,218637,0,1
5,188538,0,188538,0,1
6,204400,0,204400,0,1
7,224228,0,224228,0,1
8,95564,0,95564,0,1
9,95346,0,95346,0,1
10,261660,0,261660,0,1
11,255162,0,255162,0,1
12,200604,0,200604,0,1
13,149790,0,149790,0,1
14,122863,0,122863,0,1
15,132344,0,132344,0,1
16,124722,0,124722,0,1
17,135624,0,135624,0,1
18,173817,0,173817,0,1
19,160497,0,160497,0,1
20,138554,0,138554,0,1
21,59798,0,59798,0,1
22,149198,0,149198,0,1
23,151344,0,151344,0,1
24,126149,0,126149,0,1
25,66796,0,66796,0,1
26,132957,0,132957,0,1
27,193078,0,193078,0,1
28,94892,0,94892,0,1
29,236409,0,236409,0,1
30,136596,0,136596,0,1
31,176588,0,176588,0,1
32,317792,0,317792,0,1
33,268251,0,268251,0,1
34,209903,0,209903,0,1
35,179179,0,179179,0,1
36,192058,0,192058,0,1
37,220730,0,220730,0,1
38,90188,0,90188,0,1
39,93217,0,93217,0,1
40,252130,0,252130,0,1
41,249263,0,249263,0,1
42,184177,0,184177,0,1
43,148182,0,148182,0,1
44,117784,0,117784,0,1
45,126732,0,126732,0,1
46,114398,0,114398,0,1
47,137248,0,137248,0,1
48,164549,0,164549,0,1
49,157710,0,157710,0,1
50,123869,0,123869,0,1
51,57402,0,57402,0,1
52,148556,0,148556,0,1
53,150834,0,150834,0,1
54,109590,0,109590,0,1
55,65295,0,65295,0,1
56,136741,0,136741,0,1
57,182090,0,182090,0,1
58,85408,0,85408,0,1
59,231945,0,231945,0,1
60,11562,0,11562,0,1
