slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,227840,0,227840,0,1
2,124801,0,124801,0,1
3,199032,0,199032,0,1
4,159087,0,159087,0,1
5,175513,0,175513,0,1
6,188505,0,188505,0,1
7,167120,0,167120,0,1
8,111625,0,111625,0,1
9,309314,0,309314,0,1
10,259312,0,259312,0,1
11,196909,0,196909,0,1
12,180708,0,180708,0,1
13,195717,0,195717,0,1
14,215407,0,215407,0,1
15,178110,0,178110,0,1
16,169051,0,169051,0,1
17,230769,0,230769,0,1
18,140802,0,140802,0,1
19,97656,0,97656,0,1
20,175294,0,175294,0,1
21,208876,0,208876,0,1
22,230550,0,230550,0,1
23,141174,0,141174,0,1
24,110700,0,110700,0,1
25,197999,0,197999,0,1
26,174854,0,174854,0,1
27,93586,0,93586,0,1
28,153696,0,153696,0,1
29,228782,0,228782,0,1
30,177008,0,177008,0,1
31,214115,0,214115,0,1
32,118922,0,118922,0,1
33,183913,0,183913,0,1
34,157252,0,157252,0,1
35,162862,0,162862,0,1
36,190720,0,190720,0,1
37,155774,0,155774,0,1
38,107036,0,107036,0,1
39,304560,0,304560,0,1
40,235056,0,235056,0,1
41,194944,0,194944,0,1
42,173025,0,173025,0,1
43,188160,0,188160,0,1
44,209006,0,209006,0,1
45,174110,0,174110,0,1
46,157438,0,157438,0,1
47,215163,0,215163,0,1
48,135180,0,135180,0,1
49,98028,0,98028,0,1
50,164841,0,164841,0,1
51,200456,0,200456,0,1
52,221372,0,221372,0,1
53,135448,0,135448,0,1
54,109724,0,109724,0,1
55,191395,0,191395,0,1
56,172721,0,172721,0,1
57,79106,0,79106,0,1
58,147420,0,147420,0,1
59,230800,0,230800,0,1
60,26752,0,26752,0,1
