slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,120146,0,120146,0,1
2,133920,0,133920,0,1
3,13404,0,13404,0,1
4,82414,0,82414,0,1
5,80812,0,80812,0,1
6,63500,0,63500,0,1
7,102592,0,102592,0,1
8,61754,0,61754,0,1
9,18992,0,18992,0,1
10,66666,0,66666,0,1
11,65932,0,65932,0,1
12,57468,0,57468,0,1
13,53964,0,53964,0,1
14,64580,0,64580,0,1
15,160037,0,160037,0,1
16,57070,0,57070,0,1
17,77476,0,77476,0,1
18,80821,0,80821,0,1
19,194391,0,194391,0,1
20,76980,0,76980,0,1
21,162842,0,162842,0,1
22,93326,0,93326,0,1
23,117472,0,117472,0,1
24,110776,0,110776,0,1
25,94169,0,94169,0,1
26,61178,0,61178,0,1
27,75706,0,75706,0,1
28,97092,0,97092,0,1
29,66399,0,66399,0,1
30,86424,0,86424,0,1
31,129154,0,129154,0,1
32,67720,0,67720,0,1
33,9732,0,9732,0,1
34,115104,0,115104,0,1
35,51292,0,51292,0,1
36,89221,0,89221,0,1
37,97392,0,97392,0,1
38,37870,0,37870,0,1
39,37638,0,37638,0,1
40,53620,0,53620,0,1
41,71260,0,71260,0,1
42,71732,0,71732,0,1
43,42370,0,42370,0,1
44,61644,0,61644,0,1
45,174246,0,174246,0,1
46,70760,0,70760,0,1
47,66550,0,66550,0,1
48,140241,0,140241,0,1
49,142584,0,142584,0,1
50,146425,0,146425,0,1
51,96051,0,96051,0,1
52,135737,0,135737,0,1
53,80946,0,80946,0,1
54,114952,0,114952,0,1
55,75820,0,75820,0,1
56,51902,0,51902,0,1
57,117063,0,117063,0,1
58,51461,0,51461,0,1
59,54853,0,54853,0,1
60,8108,0,8108,0,1
