slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,97720,0,97720,0,1
2,60156,0,60156,0,1
3,89579,0,89579,0,1
4,58438,0,58438,0,1
5,53440,0,53440,0,1
6,61046,0,61046,0,1
7,71234,0,71234,0,1
8,72544,0,72544,0,1
9,67854,0,67854,0,1
10,50592,0,50592,0,1
11,59408,0,59408,0,1
12,48195,0,48195,0,1
13,87600,0,87600,0,1
14,88613,0,88613,0,1
15,80944,0,80944,0,1
16,78221,0,78221,0,1
17,22868,0,22868,0,1
18,92109,0,92109,0,1
19,86344,0,86344,0,1
20,53780,0,53780,0,1
21,85010,0,85010,0,1
22,57540,0,57540,0,1
23,44318,0,44318,0,1
24,121826,0,121826,0,1
25,125287,0,125287,0,1
26,108512,0,108512,0,1
27,74929,0,74929,0,1
28,124322,0,124322,0,1
29,96448,0,96448,0,1
30,71496,0,71496,0,1
31,112644,0,112644,0,1
32,56014,0,56014,0,1
33,86960,0,86960,0,1
34,57117,0,57117,0,1
35,49484,0,49484,0,1
36,57972,0,57972,0,1
37,68382,0,68382,0,1
38,71112,0,71112,0,1
39,63422,0,63422,0,1
40,52167,0,52167,0,1
41,53216,0,53216,0,1
42,48096,0,48096,0,1
43,81904,0,81904,0,1
44,85198,0,85198,0,1
45,77775,0,77775,0,1
46,75284,0,75284,0,1
47,22068,0,22068,0,1
48,88548,0,88548,0,1
49,83052,0,83052,0,1
50,51548,0,51548,0,1
51,81890,0,81890,0,1
52,52001,0,52001,0,1
53,42882,0,42882,0,1
54,117050,0,117050,0,1
55,120194,0,120194,0,1
56,103606,0,103606,0,1
57,72879,0,72879,0,1
58,120574,0,120574,0,1
59,90501,0,90501,0,1
60,12364,0,12364,0,1
