slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,126685,0,126685,0,1
2,219701,0,219701,0,1
3,209024,0,209024,0,1
4,253082,0,253082,0,1
5,208204,0,208204,0,1
6,235053,0,235053,0,1
7,140810,0,140810,0,1
8,274094,0,274094,0,1
9,189678,0,189678,0,1
10,153932,0,153932,0,1
11,162429,0,162429,0,1
12,76924,0,76924,0,1
13,139324,0,139324,0,1
14,183843,0,183843,0,1
15,145528,0,145528,0,1
16,214707,0,214707,0,1
17,215855,0,215855,0,1
18,185024,0,185024,0,1
19,333947,0,333947,0,1
20,292438,0,292438,0,1
21,112226,0,112226,0,1
22,214361,0,214361,0,1
23,138376,0,138376,0,1
24,285846,0,285846,0,1
25,146190,0,146190,0,1
26,164136,0,164136,0,1
27,188986,0,188986,0,1
28,166860,0,166860,0,1
29,242398,0,242398,0,1
30,108184,0,108184,0,1
31,144645,0,144645,0,1
32,231462,0,231462,0,1
33,200293,0,200293,0,1
34,246374,0,246374,0,1
35,208481,0,208481,0,1
36,246111,0,246111,0,1
37,137308,0,137308,0,1
38,276307,0,276307,0,1
39,179145,0,179145,0,1
40,166243,0,166243,0,1
41,152496,0,152496,0,1
42,74413,0,74413,0,1
43,143364,0,143364,0,1
44,179784,0,179784,0,1
45,153400,0,153400,0,1
46,215106,0,215106,0,1
47,220523,0,220523,0,1
48,184052,0,184052,0,1
49,335408,0,335408,0,1
50,283872,0,283872,0,1
51,118744,0,118744,0,1
52,211108,0,211108,0,1
53,129906,0,129906,0,1
54,293208,0,293208,0,1
55,148352,0,148352,0,1
56,158384,0,158384,0,1
57,185104,0,185104,0,1
58,174732,0,174732,0,1
59,249616,0,249616,0,1
60,23888,0,23888,0,1
