slot,bytes_sent,time_s,gbps
1,118290000,0.0005,1892.64
2,132732000,0.001,2123.712
3,116673000,0.0015,1866.768
4,83844000,0.002,1341.504
5,51183000,0.0025,818.928
6,150327000,0.003,2405.232
7,108075000,0.0035,1729.2
8,137289000,0.004,2196.624
9,206529000,0.0045,3304.464
10,90279000,0.005,1444.464
11,98916000,0.0055,1582.656
12,143929500,0.006,2302.872
13,117387000,0.0065,1878.192
14,118095000,0.007,1889.52
15,129054000,0.0075,2064.864
16,170475000,0.008,2727.6
17,190552500,0.0085,3048.84
18,142764000,0.009,2284.224
19,58203000,0.0095,931.248
20,23583000,0.01,377.328
21,202389000,0.0105,3238.224
22,164095500,0.011,2625.528
23,142317000,0.0115,2277.072
24,138114000,0.012,2209.824
25,118404000,0.0125,1894.464
26,89730000,0.013,1435.68
27,78003000,0.0135,1248.048
28,87565500,0.014,1401.048
29,148567500,0.0145,2377.08
30,207333000,0.015,3317.328
31,116832000,0.0155,1869.312
32,125154000,0.016,2002.464
33,120511500,0.0165,1928.184
34,71779500,0.017,1148.472
35,48394500,0.0175,774.312
36,144180000,0.018,2306.88
37,112305000,0.0185,1796.88
38,132015000,0.019,2112.24
39,206017500,0.0195,3296.28
40,70746000,0.02,1131.936
41,94705500,0.0205,1515.288
42,153168000,0.021,2450.688
43,97831500,0.0215,1565.304
44,112873500,0.022,1805.976
45,123294000,0.0225,1972.704
46,163453500,0.023,2615.256
47,183069000,0.0235,2929.104
48,143835000,0.024,2301.36
49,49383000,0.0245,790.128
50,23251500,0.025,372.024
51,202602000,0.0255,3241.632
52,153790500,0.026,2460.648
53,144216000,0.0265,2307.456
54,117777000,0.027,1884.432
55,113434500,0.0275,1814.952
56,85668000,0.028,1370.688
57,77265000,0.0285,1236.24
58,82170000,0.029,1314.72
59,155955000,0.0295,2495.28
60,36702000,0.03,587.232
