slot,bytes_sent,time_s,gbps
1,510034500,0.0005,8160.552
2,596155500,0.001,9538.488
3,248746500,0.0015,3979.944
4,313641000,0.002,5018.256
5,430900500,0.0025,6894.408
6,291240000,0.003,4659.84
7,272853000,0.0035,4365.648
8,336679500,0.004,5386.872
9,459531000,0.0045,7352.496
10,494745000,0.005,7915.92
11,342138000,0.0055,5474.208
12,179824500,0.006,2877.192
13,296694000,0.0065,4747.104
14,291606000,0.007,4665.696
15,372097500,0.0075,5953.56
16,234423000,0.008,3750.768
17,176469000,0.0085,2823.504
18,249505500,0.009,3992.088
19,341434500,0.0095,5462.952
20,276973500,0.01,4431.576
21,353649000,0.0105,5658.384
22,234300000,0.011,3748.8
23,173818500,0.0115,2781.096
24,298089000,0.012,4769.424
25,235482000,0.0125,3767.712
26,323034000,0.013,5168.544
27,192639000,0.0135,3082.224
28,106011000,0.014,1696.176
29,341563500,0.0145,5465.016
30,389068500,0.015,6225.096
31,365064000,0.0155,5841.024
32,572592000,0.016,9161.472
33,235723500,0.0165,3771.576
34,304116000,0.017,4865.856
35,410623500,0.0175,6569.976
36,280869000,0.018,4493.904
37,258786000,0.0185,4140.576
38,326184000,0.019,5218.944
39,440056500,0.0195,7040.904
40,477610500,0.02,7641.768
41,323731500,0.0205,5179.704
42,172669500,0.021,2762.712
43,289986000,0.0215,4639.776
44,277233000,0.022,4435.728
45,356485500,0.0225,5703.768
46,225342000,0.023,3605.472
47,166083000,0.0235,2657.328
48,239850000,0.024,3837.6
49,330535500,0.0245,5288.568
50,268776000,0.025,4300.416
51,336994500,0.0255,5391.912
52,224844000,0.026,3597.504
53,163698000,0.0265,2619.168
54,287676000,0.027,4602.816
55,223779000,0.0275,3580.464
56,311968500,0.028,4991.496
57,182466000,0.0285,2919.456
58,104523000,0.029,1672.368
59,330081000,0.0295,5281.296
60,45664500,0.03,730.632
