slot,bytes_sent,time_s,gbps
1,503266500,0.0005,8052.264
2,176215500,0.001,2819.448
3,243342000,0.0015,3893.472
4,188175000,0.002,3010.8
5,325341000,0.0025,5205.456
6,317817000,0.003,5085.072
7,105141000,0.0035,1682.256
8,217087500,0.004,3473.4
9,246688500,0.0045,3947.016
10,208390500,0.005,3334.248
11,278730000,0.0055,4459.68
12,174582000,0.006,2793.312
13,319047000,0.0065,5104.752
14,254559000,0.007,4072.944
15,218382000,0.0075,3494.112
16,283258500,0.008,4532.136
17,365041500,0.0085,5840.664
18,312037500,0.009,4992.6
19,206215500,0.0095,3299.448
20,219432000,0.01,3510.912
21,200316000,0.0105,3205.056
22,279054000,0.011,4464.864
23,198657000,0.0115,3178.512
24,332878500,0.012,5326.056
25,480777000,0.0125,7692.432
26,327481500,0.013,5239.704
27,283431000,0.0135,4534.896
28,193395000,0.014,3094.32
29,153058500,0.0145,2448.936
30,233799000,0.015,3740.784
31,495463500,0.0155,7927.416
32,186402000,0.016,2982.432
33,234535500,0.0165,3752.568
34,191103000,0.017,3057.648
35,321663000,0.0175,5146.608
36,316962000,0.018,5071.392
37,105141000,0.0185,1682.256
38,223144500,0.019,3570.312
39,239445000,0.0195,3831.12
40,208386000,0.02,3334.176
41,284722500,0.0205,4555.56
42,186066000,0.021,2977.056
43,307242000,0.0215,4915.872
44,254811000,0.022,4076.976
45,212559000,0.0225,3400.944
46,289359000,0.023,4629.744
47,370543500,0.0235,5928.696
48,300553500,0.024,4808.856
49,209226000,0.0245,3347.616
50,216526500,0.025,3464.424
51,210864000,0.0255,3373.824
52,269802000,0.026,4316.832
53,203271000,0.0265,3252.336
54,332128500,0.027,5314.056
55,487650000,0.0275,7802.4
56,314959500,0.028,5039.352
57,291303000,0.0285,4660.848
58,185523000,0.029,2968.368
59,156805500,0.0295,2508.888
60,17241000,0.03,275.856
