slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,47276,0,47276,0,1
2,94825,0,94825,0,1
3,53983,0,53983,0,1
4,110015,0,110015,0,1
5,183181,0,183181,0,1
6,126346,0,126346,0,1
7,10692,0,10692,0,1
8,69130,0,69130,0,1
9,44800,0,44800,0,1
10,92264,0,92264,0,1
11,63090,0,63090,0,1
12,159282,0,159282,0,1
13,73023,0,73023,0,1
14,97589,0,97589,0,1
15,105334,0,105334,0,1
16,93076,0,93076,0,1
17,125865,0,125865,0,1
18,96414,0,96414,0,1
19,75452,0,75452,0,1
20,66464,0,66464,0,1
21,96254,0,96254,0,1
22,118449,0,118449,0,1
23,60663,0,60663,0,1
24,48417,0,48417,0,1
25,137380,0,137380,0,1
26,62556,0,62556,0,1
27,55803,0,55803,0,1
28,110018,0,110018,0,1
29,55314,0,55314,0,1
30,139692,0,139692,0,1
31,47386,0,47386,0,1
32,83894,0,83894,0,1
33,43794,0,43794,0,1
34,120339,0,120339,0,1
35,166557,0,166557,0,1
36,114874,0,114874,0,1
37,10372,0,10372,0,1
38,66570,0,66570,0,1
39,56528,0,56528,0,1
40,99272,0,99272,0,1
41,50602,0,50602,0,1
42,145476,0,145476,0,1
43,75441,0,75441,0,1
44,90855,0,90855,0,1
45,94020,0,94020,0,1
46,98120,0,98120,0,1
47,110456,0,110456,0,1
48,92582,0,92582,0,1
49,85730,0,85730,0,1
50,49821,0,49821,0,1
51,114520,0,114520,0,1
52,87888,0,87888,0,1
53,65647,0,65647,0,1
54,64404,0,64404,0,1
55,124144,0,124144,0,1
56,43304,0,43304,0,1
57,79948,0,79948,0,1
58,80408,0,80408,0,1
59,55238,0,55238,0,1
60,28760,0,28760,0,1
