slot,bytes_sent,time_s,gbps
1,146580000,0.0005,2345.28
2,90234000,0.001,1443.744
3,134368500,0.0015,2149.896
4,87657000,0.002,1402.512
5,80160000,0.0025,1282.56
6,91569000,0.003,1465.104
7,106851000,0.0035,1709.616
8,108816000,0.004,1741.056
9,101781000,0.0045,1628.496
10,75888000,0.005,1214.208
11,89112000,0.0055,1425.792
12,72292500,0.006,1156.68
13,131400000,0.0065,2102.4
14,132919500,0.007,2126.712
15,121416000,0.0075,1942.656
16,117331500,0.008,1877.304
17,34302000,0.0085,548.832
18,138163500,0.009,2210.616
19,129516000,0.0095,2072.256
20,80670000,0.01,1290.72
21,127515000,0.0105,2040.24
22,86310000,0.011,1380.96
23,66477000,0.0115,1063.632
24,182739000,0.012,2923.824
25,187930500,0.0125,3006.888
26,162768000,0.013,2604.288
27,112393500,0.0135,1798.296
28,186483000,0.014,2983.728
29,144672000,0.0145,2314.752
30,107244000,0.015,1715.904
31,168966000,0.0155,2703.456
32,84021000,0.016,1344.336
33,130440000,0.0165,2087.04
34,85675500,0.017,1370.808
35,74226000,0.0175,1187.616
36,86958000,0.018,1391.328
37,102573000,0.0185,1641.168
38,106668000,0.019,1706.688
39,95133000,0.0195,1522.128
40,78250500,0.02,1252.008
41,79824000,0.0205,1277.184
42,72144000,0.021,1154.304
43,122856000,0.0215,1965.696
44,127797000,0.022,2044.752
45,116662500,0.0225,1866.6
46,112926000,0.023,1806.816
47,33102000,0.0235,529.632
48,132822000,0.024,2125.152
49,124578000,0.0245,1993.248
50,77322000,0.025,1237.152
51,122835000,0.0255,1965.36
52,78001500,0.026,1248.024
53,64323000,0.0265,1029.168
54,175575000,0.027,2809.2
55,180291000,0.0275,2884.656
56,155409000,0.028,2486.544
57,109318500,0.0285,1749.096
58,180861000,0.029,2893.776
59,135751500,0.0295,2172.024
60,18546000,0.03,296.736
