slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,70758,0,70758,0,1
2,69228,0,69228,0,1
3,68014,0,68014,0,1
4,102203,0,102203,0,1
5,114363,0,114363,0,1
6,71906,0,71906,0,1
7,99318,0,99318,0,1
8,27638,0,27638,0,1
9,81672,0,81672,0,1
10,23278,0,23278,0,1
11,50564,0,50564,0,1
12,31466,0,31466,0,1
13,33474,0,33474,0,1
14,79667,0,79667,0,1
15,132092,0,132092,0,1
16,44766,0,44766,0,1
17,23248,0,23248,0,1
18,64060,0,64060,0,1
19,84830,0,84830,0,1
20,75373,0,75373,0,1
21,55296,0,55296,0,1
22,114762,0,114762,0,1
23,102440,0,102440,0,1
24,94452,0,94452,0,1
25,67068,0,67068,0,1
26,132486,0,132486,0,1
27,134707,0,134707,0,1
28,58029,0,58029,0,1
29,74489,0,74489,0,1
30,63614,0,63614,0,1
31,71580,0,71580,0,1
32,55720,0,55720,0,1
33,85900,0,85900,0,1
34,100722,0,100722,0,1
35,117636,0,117636,0,1
36,61016,0,61016,0,1
37,100592,0,100592,0,1
38,36326,0,36326,0,1
39,63617,0,63617,0,1
40,23278,0,23278,0,1
41,50423,0,50423,0,1
42,31466,0,31466,0,1
43,33474,0,33474,0,1
44,136020,0,136020,0,1
45,75928,0,75928,0,1
46,51712,0,51712,0,1
47,40570,0,40570,0,1
48,61332,0,61332,0,1
49,83792,0,83792,0,1
50,62608,0,62608,0,1
51,81014,0,81014,0,1
52,97566,0,97566,0,1
53,121516,0,121516,0,1
54,72244,0,72244,0,1
55,64488,0,64488,0,1
56,149660,0,149660,0,1
57,147865,0,147865,0,1
58,49604,0,49604,0,1
59,42732,0,42732,0,1
60,11615,0,11615,0,1
