slot,bytes_sent,time_s,gbps
1,380712000,0.0005,6091.392
2,407058000,0.001,6512.928
3,435801000,0.0015,6972.816
4,237162000,0.002,3794.592
5,327621000,0.0025,5241.936
6,435265500,0.003,6964.248
7,202590000,0.0035,3241.44
8,309742500,0.004,4955.88
9,300742500,0.0045,4811.88
10,341518500,0.005,5464.296
11,458341500,0.0055,7333.464
12,261876000,0.006,4190.016
13,179889000,0.0065,2878.224
14,387018000,0.007,6192.288
15,618885000,0.0075,9902.16
16,281091000,0.008,4497.456
17,198384000,0.0085,3174.144
18,259744500,0.009,4155.912
19,283203000,0.0095,4531.248
20,345522000,0.01,5528.352
21,205065000,0.0105,3281.04
22,297861000,0.011,4765.776
23,218512500,0.0115,3496.2
24,488457000,0.012,7815.312
25,307525500,0.0125,4920.408
26,328173000,0.013,5250.768
27,376431000,0.0135,6022.896
28,248469000,0.014,3975.504
29,351885000,0.0145,5630.16
30,306600000,0.015,4905.6
31,292968000,0.0155,4687.488
32,398080500,0.016,6369.288
33,400585500,0.0165,6409.368
34,254937000,0.017,4078.992
35,309435000,0.0175,4950.96
36,463789500,0.018,7420.632
37,178830000,0.0185,2861.28
38,328621500,0.019,5257.944
39,320118000,0.0195,5121.888
40,333186000,0.02,5330.976
41,454074000,0.0205,7265.184
42,241149000,0.021,3858.384
43,210099000,0.0215,3361.584
44,362118000,0.022,5793.888
45,640818000,0.0225,10253.088
46,249882000,0.023,3998.112
47,202920000,0.0235,3246.72
48,258598500,0.024,4137.576
49,284775000,0.0245,4556.4
50,336315000,0.025,5381.04
51,237345000,0.0255,3797.52
52,281517000,0.026,4504.272
53,227397000,0.0265,3638.352
54,491826000,0.027,7869.216
55,290340000,0.0275,4645.44
56,350148000,0.028,5602.368
57,351285000,0.0285,5620.56
58,267240000,0.029,4275.84
59,336678000,0.0295,5386.848
60,19968000,0.03,319.488
