slot,bytes_sent,time_s,gbps
1,190027500,0.0005,3040.44
2,329551500,0.001,5272.824
3,313536000,0.0015,5016.576
4,379623000,0.002,6073.968
5,312306000,0.0025,4996.896
6,352579500,0.003,5641.272
7,211215000,0.0035,3379.44
8,411141000,0.004,6578.256
9,284517000,0.0045,4552.272
10,230898000,0.005,3694.368
11,243643500,0.0055,3898.296
12,115386000,0.006,1846.176
13,208986000,0.0065,3343.776
14,275764500,0.007,4412.232
15,218292000,0.0075,3492.672
16,322060500,0.008,5152.968
17,323782500,0.0085,5180.52
18,277536000,0.009,4440.576
19,500920500,0.0095,8014.728
20,438657000,0.01,7018.512
21,168339000,0.0105,2693.424
22,321541500,0.011,5144.664
23,207564000,0.0115,3321.024
24,428769000,0.012,6860.304
25,219285000,0.0125,3508.56
26,246204000,0.013,3939.264
27,283479000,0.0135,4535.664
28,250290000,0.014,4004.64
29,363597000,0.0145,5817.552
30,162276000,0.015,2596.416
31,216967500,0.0155,3471.48
32,347193000,0.016,5555.088
33,300439500,0.0165,4807.032
34,369561000,0.017,5912.976
35,312721500,0.0175,5003.544
36,369166500,0.018,5906.664
37,205962000,0.0185,3295.392
38,414460500,0.019,6631.368
39,268717500,0.0195,4299.48
40,249364500,0.02,3989.832
41,228744000,0.0205,3659.904
42,111619500,0.021,1785.912
43,215046000,0.0215,3440.736
44,269676000,0.022,4314.816
45,230100000,0.0225,3681.6
46,322659000,0.023,5162.544
47,330784500,0.0235,5292.552
48,276078000,0.024,4417.248
49,503112000,0.0245,8049.792
50,425808000,0.025,6812.928
51,178116000,0.0255,2849.856
52,316662000,0.026,5066.592
53,194859000,0.0265,3117.744
54,439812000,0.027,7036.992
55,222528000,0.0275,3560.448
56,237576000,0.028,3801.216
57,277656000,0.0285,4442.496
58,262098000,0.029,4193.568
59,374424000,0.0295,5990.784
60,35832000,0.03,573.312
